,Perplexity,0.0,0.25,0.5,0.75,0.9
0,STEP  1,727.2717147469201,779.5201449948694,819.5922754804872,704.7984482025288,672.9949483743562
1,STEP  2,289.31035917700603,315.1617786767899,311.6916532029007,327.4531919366803,469.10469664850217
2,STEP  3,281.26438564365134,235.71739526172266,248.29745845168046,263.2290984485879,358.90512261012486
3,STEP  4,206.7510292642311,192.84644029569716,196.41908185390085,236.3144257762691,319.378516734302
4,STEP  5,131.50106742326628,138.30540784860497,167.04962119472842,209.2227606286421,295.6781258646949
5,STEP  6,70.59248369141055,144.15279777946765,147.08409043660637,201.90993883714663,281.546710064114
6,STEP  7,66.40796430973687,99.86981929216076,130.16793645218144,177.7274365741033,272.6460200652717
7,STEP  8,62.07981089827498,94.58023199812895,136.69410104110514,171.9996442938738,256.57657996739545
8,STEP  9,48.97710244840268,75.98191546124903,108.77312570091874,150.0965313286802,247.14163790006927
9,STEP  10,48.41781343217363,40.9846737140598,93.77178308652478,150.65762526583225,256.2651557739235
10,STEP  11,45.195067255676996,37.51220002209367,85.74394496383673,157.77524679294342,228.42940368793182
11,STEP  12,44.273949290616684,31.95342625887084,58.691264360500504,146.37756794781208,222.28592852872538
12,STEP  13,44.04711965144715,30.60140792743801,59.736568026768026,124.60082205171875,221.1532026894947
13,STEP  14,43.990761867274074,30.839851559665146,51.30903852320023,103.46492180472671,224.67774464031024
14,STEP  15,43.976667964604836,30.290231037668715,48.397546926657235,111.88377757902535,222.6493614044294
15,STEP  16,43.97785276914479,30.594550508341914,43.412914237321,101.0684968245171,212.01398931432377
16,STEP  17,43.97900614935763,28.74244166470977,45.9067641143189,106.31512754462749,205.72081161200694
17,STEP  18,43.98019101689217,29.426553573523613,45.010507895407414,102.24596425631337,205.60675837417915
18,STEP  19,43.98136543037311,29.938002962897286,46.149221533228,108.66016605371408,211.61543898728834
19,STEP  20,43.98253987521469,30.142654086766008,44.31621349041622,92.36179727564632,207.90900454459702
20,STEP  21,43.98372483795368,30.03744708643572,47.622772101058985,96.35524221776869,217.7594261094638
21,STEP  22,43.984878372169675,29.227238198141553,47.326231737799446,100.42409612611073,197.5991685768249
22,STEP  23,43.986042423727184,28.96518493298592,46.73429992076714,94.63170437926324,203.26641301651316
23,STEP  24,43.987196018725086,29.56031190768284,46.76981285556888,100.05199515813004,192.9007021738433
24,STEP  25,43.98836013161868,30.94634168262273,46.094756671959395,103.03644099331837,204.76337992287523
25,STEP  26,43.989482323660816,30.587315409180377,43.95686653344258,107.29785244547732,196.0669555982295
26,STEP  27,43.99062552069118,31.00079625691038,48.04185915870536,104.02010304014458,196.02769288579546
27,STEP  28,43.99174777052591,30.577931293020928,46.31201983346448,104.89674788886319,199.6667911416985
28,STEP  29,43.99287004899049,29.920327911057274,45.91855342029689,96.52019068339006,183.5845953679511
29,STEP  30,43.993981867101745,29.95331026689441,44.104317246530904,103.2583614333961,197.48603959951384
30,STEP  31,43.99510420256061,30.545062216632562,48.4807212883935,99.24839343881945,205.03949313355585
31,STEP  32,43.99621607713493,29.429338992669592,46.70297820252246,100.81392406152315,193.4465596868802
32,STEP  33,43.997275530938474,29.555977872983643,46.70004982675813,102.45601985322911,192.49484425336743
33,STEP  34,43.99837697035633,29.568340359425772,46.508246926026615,99.41616136547526,199.43556836311862
34,STEP  35,43.99946794705603,30.868776299857288,42.17439076116891,106.9172068945341,190.94720839767146
35,STEP  36,44.00051698862445,29.65346017398068,46.85717159191828,102.04071833451518,188.1661203398806
36,STEP  37,44.00157654599637,30.21093183750583,49.981290745087115,99.59665485028616,193.55340600724398
37,STEP  38,44.002615146796074,32.54575489375048,48.6525678737181,100.17038224645195,185.11209689503923
38,STEP  39,44.00366426340047,29.93791017195143,45.85051927702225,102.42119227496099,191.8280554524119
39,STEP  40,44.00466094734311,31.53540364201,46.454465894062245,99.49075790624713,200.33732582684564
